"","TrialNumber","Condition","Run","P1_1","P1_2","SafeOption","P2_2","O2_2","O2_1","ProbNumber","O1_2","O1_1","EV2","EV1","ProbType","P2_1","ran","order","trialStartTime","viewingEndTime","viewingDur_total","thinkOnset","decideOnset","leftRight","resp","safeChoice","resp_onset","rt","decideDur_total","assignedITI","decide_pad","totalITI","ITI_onset","TrialEndTime","samplingCount_total","samplingCount_risky","samplingCount_safe","switchCount","samplingDur_assigned","samplingDur_total","samplingEndTime","sampling_pad","PID"
"131",17,"Descriptive","Run1",0.3,1,2,0,0,-4,"MD11",5,27,5,5.3,"MD",0.7,1,16,213.29,219.332,6.04238,219.333,222.365,0,"2","0","222.791820546","0.4265698198",9.80187,1.1239,"1.2734301802",2.39733,223.108,225.515,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"132",17,"Experiential","Run2",0.6,0.5,1,0.5,50,25,"RR6",-15,12,17.5,17.2,"RR",0.4,1,16,375.486,NA,NA,391.001,394.034,1,"1","0","394.361958979","0.32843661611",19.176,5.0846,"1.37156338389",6.94192,394.874,401.816,12,6,6,1,16,15.5143,391,0.485754,"A001"
"133",17,"Descriptive","Run2",0.9,1,2,0,0,-37,"MD3",-5,10,-5,5.3,"MD",0.1,1,16,208.463,214.498,6.03487,214.498,217.531,0,"NA","NA","NA","NA",2,1.0825,"NA",1.0825,219.545,220.631,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"134",17,"Experiential","Run1",0.25,0.25,1,0.75,10,6,"RR1",-8,2,5.5,5,"RR",0.75,1,16,379.977,NA,NA,395.492,398.525,1,"1","0","398.955018065","0.430387537461",19.2781,5.4629,"1.26961246254",7.2179,399.467,406.69,19,12,7,2,16,15.5147,395.492,0.485384,"A001"
"135",17,"Descriptive","Run2",0.9,1,2,0,0,-37,"MD3",-5,10,-5,5.3,"MD",0.1,1,16,208.463,214.498,6.03487,214.498,217.531,0,"NA","NA","NA","NA",2,1.0825,"NA",1.0825,219.545,220.631,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"136",17,"Experiential","Run2",0.6,0.5,1,0.5,50,25,"RR6",-15,12,17.5,17.2,"RR",0.4,1,16,375.486,NA,NA,391.001,394.034,1,"1","0","394.361958979","0.32843661611",19.176,5.0846,"1.37156338389",6.94192,394.874,401.816,12,6,6,1,16,15.5143,391,0.485754,"A001"
"137",18,"Descriptive","Run1",0.5,0.4,1,0.6,50,30,"RR8",-15,14,24,22,"RR",0.5,1,17,225.547,231.564,6.01668,231.564,234.597,0,"1","0","235.375793533","0.778500634828",10.1285,1.1342,"0.921499365172",2.0557,235.695,237.764,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"138",18,"Experiential","Run1",0.8,1,2,0,0,0,"SD7",3,4,3,3.2,"SD",0.2,1,17,406.691,NA,NA,425.206,428.237,0,"2","0","428.627043608","0.389665467315",22.2363,1.048,"1.31033453268",2.84396,429.137,431.988,29,20,9,2,19,18.5144,425.205,0.485629,"A001"
"139",18,"Descriptive","Run1",0.5,0.4,1,0.6,50,30,"RR8",-15,14,24,22,"RR",0.5,1,17,225.547,231.564,6.01668,231.564,234.597,0,"1","0","235.375793533","0.778500634828",10.1285,1.1342,"0.921499365172",2.0557,235.695,237.764,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"140",18,"Experiential","Run2",0.1,1,2,0,0,0,"SD10",3,32,3,3.2,"SD",0.9,1,17,401.817,NA,NA,420.832,423.863,0,"1","1","424.225810958","0.362328252755",22.7093,1.0887,"1.33767174724",2.41182,424.736,427.163,31,23,8,2,19,19.0146,420.831,-0.0145546,"A001"
"141",18,"Descriptive","Run2",0.2,1,2,0,0,-7,"MD6",-2,24,-2,-0.8,"MD",0.8,1,17,220.664,226.714,6.04932,226.714,229.746,0,"1","1","230.167632958","0.421264434466",9.8033,1.1604,"1.27873556553",2.43914,230.484,232.93,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"142",18,"Experiential","Run1",0.8,1,2,0,0,0,"SD7",3,4,3,3.2,"SD",0.2,1,17,406.691,NA,NA,425.206,428.237,0,"2","0","428.627043608","0.389665467315",22.2363,1.048,"1.31033453268",2.84396,429.137,431.988,29,20,9,2,19,18.5144,425.205,0.485629,"A001"
"143",18,"Descriptive","Run2",0.2,1,2,0,0,-7,"MD6",-2,24,-2,-0.8,"MD",0.8,1,17,220.664,226.714,6.04932,226.714,229.746,0,"1","1","230.167632958","0.421264434466",9.8033,1.1604,"1.27873556553",2.43914,230.484,232.93,NA,NA,NA,NA,NA,NA,NA,NA,"A001"
"144",18,"Experiential","Run2",0.1,1,2,0,0,0,"SD10",3,32,3,3.2,"SD",0.9,1,17,401.817,NA,NA,420.832,423.863,0,"1","1","424.225810958","0.362328252755",22.7093,1.0887,"1.33767174724",2.41182,424.736,427.163,31,23,8,2,19,19.0146,420.831,-0.0145546,"A001"
